"id","title","grade","value"
1,"El acto solidario de la donación de órganos1",7,"Si bien los trasplantes se han convertido en una práctica habitual, aún persisten fuertes temores en la población para donar órganos, lograr su superación es la clave para aumentar el número de los donadores solidarios que hacen falta para salvar miles de vidas."
1,"El acto solidario de la donación de órganos1",7,"Es preciso, entonces, que se aclaren algunas dudas para que las personas pierdan el miedo a donar."
1,"El acto solidario de la donación de órganos1",7," Primero, que lo complicado de los procedimientos de extirpación y trasplantación, en el que intervienen varios equipos médicos altamente especializados, vuelve muy difícil la existencia de mafias."
1,"El acto solidario de la donación de órganos1",7," Segundo, que la necesaria compatibilidad (afinidad de grupo sanguíneo) entre donante y receptor dificulta la posibilidad de muertes “a pedido”."
1,"El acto solidario de la donación de órganos1",7,"La última cuestión es la más compleja; en la actualidad, aunque alguien haya manifestado expresamente su voluntad de donar, es a la familia a la que se consulta en el momento en que la donación puede efectuarse."
1,"El acto solidario de la donación de órganos1",7," Como se entiende, tal consulta llega en un momento difícil y poco propicio para las reflexiones profundas, más aún si se tiene que tomar una decisión rápida."
1,"El acto solidario de la donación de órganos1",7,"Por lo tanto, las campañas públicas deben esclarecer la naturaleza de los procedimientos técnicos y legales, para disipar miedos; pero, esencialmente, deben apuntar a que se tome conciencia de lo que significa salvar otra vida, porque para decidirlo en un momento crucial es necesario que la idea se haya considerado y discutido previamente, con reflexión y calma."
2,"El valor de la televisión en la sociedad2",7,"La televisión es un sistema que permite a las personas recibir sonidos e imágenes en movimiento, y eso es posible gracias a las ondas."
2,"El valor de la televisión en la sociedad2",7,"En la actualidad, se puede afirmar que en la mayoría de los hogares hay, como mínimo, un televisor."
2,"El valor de la televisión en la sociedad2",7," Con el paso de los años se ha convertido en un objeto fundamental y cotidiano que normalmente suele presidir el centro del salón, donde toda la familia se reúne frente a él para ver diferentes programas."
2,"El valor de la televisión en la sociedad2",7,"Se ha hablado mucho sobre la televisión y los aspectos positivos y negativos."
2,"El valor de la televisión en la sociedad2",7," Por ejemplo, Bernice Buresh la ha definido con estas palabras: “La televisión puede darnos muchas cosas, salvo tiempo para pensar”."
2,"El valor de la televisión en la sociedad2",7," Es por ello que, en esta argumentación, hablaré sobre el valor de la televisión en la sociedad actual."
2,"El valor de la televisión en la sociedad2",7,"En primer lugar, hay que decir que la televisión puede entenderse como algo positivo, dado que, entre otras cosas, permite que las personas estén informadas en todo momento a través de los informativos."
2,"El valor de la televisión en la sociedad2",7," Otro aspecto a su favor es que permite, gracias a programas como los de concurso, aprender sobre diversos temas."
2,"El valor de la televisión en la sociedad2",7," La televisión también destaca por el hecho de ser un medio de entretenimiento, como cuando tenemos la oportunidad de ver una película, nuestra serie favorita o alguna transmisión deportiva relacionada con el fútbol o el vóleibol, por citar algunos ejemplos."
2,"El valor de la televisión en la sociedad2",7,"Pero no todo lo que rodea el mundo de la televisión es positivo."
2,"El valor de la televisión en la sociedad2",7," Por desgracia hay programas que aportan muy poco valor al espectador."
2,"El valor de la televisión en la sociedad2",7," Otro aspecto negativo es el hecho de que hay gente que se pasa muchas horas frente al televisor, lo cual crea adicción."
2,"El valor de la televisión en la sociedad2",7," También está el inconveniente de que, por culpa de la televisión, los miembros de una familia hablan muy poco cuando están reunidos en el salón o en la cocina, justamente porque están pendientes de lo que pasa en la pantalla del televisor."
2,"El valor de la televisión en la sociedad2",7," En mi caso, debo decirles que suelo ver la televisión casi todos los días, pero normalmente es para ver algún informativo y estar al día con lo que pasa en el mundo, o mirar alguno que otro acontecimiento deportivo."
2,"El valor de la televisión en la sociedad2",7,"En resumen, cuando nos referimos a la televisión, podemos encontrar argumentos a favor y en contra."
2,"El valor de la televisión en la sociedad2",7," Pero creo que lo más importante al respecto es que cada uno debe ser capaz de usar responsablemente este aparato que, nos guste o no, forma parte de nuestras vidas."
